dataset,model,variant,split,m,k_correct_members,nodes,ensemble_correct_nodes,ensemble_wrong_nodes
roman-empire,SAGE,gnnm,3,4,3,196,194,2
roman-empire,SAGE,gnnm,3,4,4,4791,4791,0
roman-empire,SAGE,independent_projectors,4,4,0,486,0,486
roman-empire,SAGE,independent_projectors,4,4,1,201,21,180
roman-empire,SAGE,independent_projectors,4,4,2,211,126,85
roman-empire,SAGE,independent_projectors,4,4,3,294,289,5
roman-empire,SAGE,independent_projectors,4,4,4,4474,4474,0
roman-empire,SAGE,heads_only,4,4,0,823,0,823
roman-empire,SAGE,heads_only,4,4,1,20,0,20
roman-empire,SAGE,heads_only,4,4,2,14,5,9
roman-empire,SAGE,heads_only,4,4,3,17,16,1
roman-empire,SAGE,heads_only,4,4,4,4792,4792,0
roman-empire,SAGE,input_only,4,4,0,416,0,416
roman-empire,SAGE,input_only,4,4,1,150,16,134
roman-empire,SAGE,input_only,4,4,2,154,87,67
roman-empire,SAGE,input_only,4,4,3,217,214,3
roman-empire,SAGE,input_only,4,4,4,4729,4729,0
roman-empire,SAGE,output_only,4,4,0,870,0,870
roman-empire,SAGE,output_only,4,4,1,2,0,2
roman-empire,SAGE,output_only,4,4,2,1,0,1
roman-empire,SAGE,output_only,4,4,3,0,0,0
roman-empire,SAGE,output_only,4,4,4,4793,4793,0
roman-empire,SAGE,base,4,1,0,824,0,824
roman-empire,SAGE,base,4,1,1,4842,4842,0
roman-empire,SAGE,gnnm_m1,4,1,0,784,0,784
roman-empire,SAGE,gnnm_m1,4,1,1,4882,4882,0
roman-empire,SAGE,gnnm,4,4,0,409,0,409
roman-empire,SAGE,gnnm,4,4,1,145,9,136
roman-empire,SAGE,gnnm,4,4,2,152,84,68
roman-empire,SAGE,gnnm,4,4,3,215,214,1
roman-empire,SAGE,gnnm,4,4,4,4745,4745,0
roman-empire,SAGE,untied_backbone,0,4,0,546,0,546
roman-empire,SAGE,untied_backbone,0,4,1,194,13,181
roman-empire,SAGE,untied_backbone,0,4,2,186,111,75
roman-empire,SAGE,untied_backbone,0,4,3,250,238,12
roman-empire,SAGE,untied_backbone,0,4,4,4490,4490,0
roman-empire,SAGE,untied_backbone,1,4,0,499,0,499
roman-empire,SAGE,untied_backbone,1,4,1,164,21,143
roman-empire,SAGE,untied_backbone,1,4,2,188,117,71
roman-empire,SAGE,untied_backbone,1,4,3,271,264,7
roman-empire,SAGE,untied_backbone,1,4,4,4544,4544,0
roman-empire,SAGE,untied_backbone,2,4,0,496,1,495
roman-empire,SAGE,untied_backbone,2,4,1,200,18,182
roman-empire,SAGE,untied_backbone,2,4,2,185,112,73
roman-empire,SAGE,untied_backbone,2,4,3,251,246,5
roman-empire,SAGE,untied_backbone,2,4,4,4534,4534,0
roman-empire,SAGE,untied_backbone,3,4,0,498,0,498
roman-empire,SAGE,untied_backbone,3,4,1,183,18,165
roman-empire,SAGE,untied_backbone,3,4,2,170,102,68
roman-empire,SAGE,untied_backbone,3,4,3,280,271,9
roman-empire,SAGE,untied_backbone,3,4,4,4535,4535,0
roman-empire,SAGE,untied_backbone,4,4,0,531,0,531
roman-empire,SAGE,untied_backbone,4,4,1,180,17,163
roman-empire,SAGE,untied_backbone,4,4,2,189,111,78
roman-empire,SAGE,untied_backbone,4,4,3,248,242,6
roman-empire,SAGE,untied_backbone,4,4,4,4518,4518,0
roman-empire,SAGE,freeze_output_factors,0,4,0,442,1,441
roman-empire,SAGE,freeze_output_factors,0,4,1,127,19,108
roman-empire,SAGE,freeze_output_factors,0,4,2,136,82,54
roman-empire,SAGE,freeze_output_factors,0,4,3,227,221,6
roman-empire,SAGE,freeze_output_factors,0,4,4,4734,4734,0
roman-empire,SAGE,freeze_output_factors,1,4,0,381,0,381
roman-empire,SAGE,freeze_output_factors,1,4,1,137,9,128
roman-empire,SAGE,freeze_output_factors,1,4,2,142,83,59
roman-empire,SAGE,freeze_output_factors,1,4,3,232,227,5
roman-empire,SAGE,freeze_output_factors,1,4,4,4774,4774,0
roman-empire,SAGE,freeze_output_factors,2,4,0,388,0,388
roman-empire,SAGE,freeze_output_factors,2,4,1,144,17,127
roman-empire,SAGE,freeze_output_factors,2,4,2,159,98,61
roman-empire,SAGE,freeze_output_factors,2,4,3,183,177,6
roman-empire,SAGE,freeze_output_factors,2,4,4,4792,4792,0
roman-empire,SAGE,freeze_output_factors,3,4,0,408,1,407
roman-empire,SAGE,freeze_output_factors,3,4,1,144,12,132
roman-empire,SAGE,freeze_output_factors,3,4,2,128,69,59
roman-empire,SAGE,freeze_output_factors,3,4,3,194,191,3
roman-empire,SAGE,freeze_output_factors,3,4,4,4792,4792,0
roman-empire,SAGE,freeze_output_factors,4,4,0,410,0,410
roman-empire,SAGE,freeze_output_factors,4,4,1,145,9,136
roman-empire,SAGE,freeze_output_factors,4,4,2,150,83,67
roman-empire,SAGE,freeze_output_factors,4,4,3,214,213,1
roman-empire,SAGE,freeze_output_factors,4,4,4,4747,4747,0
roman-empire,SAGE,ens_pooled,0,4,0,502,0,502
roman-empire,SAGE,ens_pooled,0,4,1,177,19,158
roman-empire,SAGE,ens_pooled,0,4,2,168,106,62
roman-empire,SAGE,ens_pooled,0,4,3,244,239,5
roman-empire,SAGE,ens_pooled,0,4,4,4575,4575,0
roman-empire,SAGE,ens_pooled,1,4,0,483,0,483
roman-empire,SAGE,ens_pooled,1,4,1,153,17,136
roman-empire,SAGE,ens_pooled,1,4,2,151,93,58
roman-empire,SAGE,ens_pooled,1,4,3,227,220,7
roman-empire,SAGE,ens_pooled,1,4,4,4652,4652,0
roman-empire,SAGE,ens_pooled,2,4,0,471,0,471
roman-empire,SAGE,ens_pooled,2,4,1,184,14,170
roman-empire,SAGE,ens_pooled,2,4,2,164,99,65
roman-empire,SAGE,ens_pooled,2,4,3,270,261,9
roman-empire,SAGE,ens_pooled,2,4,4,4577,4577,0
roman-empire,SAGE,ens_pooled,3,4,0,467,0,467
roman-empire,SAGE,ens_pooled,3,4,1,169,18,151
roman-empire,SAGE,ens_pooled,3,4,2,190,116,74
roman-empire,SAGE,ens_pooled,3,4,3,247,239,8
roman-empire,SAGE,ens_pooled,3,4,4,4593,4593,0
roman-empire,SAGE,ens_pooled,4,4,0,481,0,481
roman-empire,SAGE,ens_pooled,4,4,1,163,7,156
roman-empire,SAGE,ens_pooled,4,4,2,177,106,71
roman-empire,SAGE,ens_pooled,4,4,3,243,240,3
roman-empire,SAGE,ens_pooled,4,4,4,4602,4602,0
